OrderID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,ProductID,SupplierID,OrderQty,IsLate
ORD00176,2023-01-01,2023-01-11,2023-01-10,P0024,S020,350,0
ORD00400,2023-01-01,2023-01-09,2023-01-09,P0084,S014,164,0
ORD00480,2023-01-01,2023-01-12,2023-01-10,P0005,S019,103,0
ORD00686,2023-01-01,2023-01-14,2023-01-14,P0090,S014,281,0
ORD00803,2023-01-01,2023-01-10,2023-01-08,P0018,S002,465,0
ORD01316,2023-01-01,2023-01-15,2023-01-18,P0001,S015,40,1
ORD01507,2023-01-01,2023-01-06,2023-01-06,P0050,S010,226,0
ORD01815,2023-01-01,2023-01-10,2023-01-15,P0065,S002,350,1
ORD02160,2023-01-01,2023-01-12,2023-01-11,P0081,S009,100,0
ORD02752,2023-01-01,2023-01-11,2023-01-10,P0072,S014,366,0
ORD03279,2023-01-01,2023-01-07,2023-01-13,P0021,S015,125,1
ORD03390,2023-01-01,2023-01-06,2023-01-13,P0021,S005,351,1
ORD04449,2023-01-01,2023-01-11,2023-01-11,P0018,S010,390,0
ORD00495,2023-01-02,2023-01-08,2023-01-18,P0062,S014,112,1
ORD02671,2023-01-02,2023-01-07,2023-01-06,P0069,S014,426,0
ORD02720,2023-01-02,2023-01-08,2023-01-08,P0053,S007,64,0
ORD02737,2023-01-02,2023-01-07,2023-01-16,P0054,S005,300,1
ORD02785,2023-01-02,2023-01-10,2023-01-08,P0044,S009,55,0
ORD02859,2023-01-02,2023-01-13,2023-01-13,P0019,S012,471,0
ORD02902,2023-01-02,2023-01-15,2023-01-13,P0022,S013,102,0
ORD03655,2023-01-02,2023-01-09,2023-01-18,P0098,S019,449,1
ORD03755,2023-01-02,2023-01-13,2023-01-11,P0050,S017,488,0
ORD04083,2023-01-02,2023-01-10,2023-01-10,P0096,S012,206,0
ORD04205,2023-01-02,2023-01-13,2023-01-11,P0028,S013,346,0
ORD04283,2023-01-02,2023-01-12,2023-01-10,P0093,S006,116,0
ORD04300,2023-01-02,2023-01-13,2023-01-11,P0026,S005,135,0
ORD04714,2023-01-02,2023-01-11,2023-01-10,P0088,S001,318,0
ORD04777,2023-01-02,2023-01-13,2023-01-11,P0096,S013,106,0
ORD04890,2023-01-02,2023-01-12,2023-01-12,P0085,S001,419,0
ORD00872,2023-01-03,2023-01-15,2023-01-13,P0085,S020,253,0
ORD01340,2023-01-03,2023-01-11,2023-01-09,P0004,S013,387,0
ORD01430,2023-01-03,2023-01-14,2023-01-14,P0048,S002,475,0
ORD01722,2023-01-03,2023-01-08,2023-01-11,P0048,S014,440,1
ORD01996,2023-01-03,2023-01-11,2023-01-10,P0070,S009,265,0
ORD02670,2023-01-03,2023-01-11,2023-01-19,P0031,S017,213,1
ORD03197,2023-01-03,2023-01-13,2023-01-13,P0060,S019,194,0
ORD03982,2023-01-03,2023-01-18,2023-01-16,P0035,S013,349,0
ORD04338,2023-01-03,2023-01-12,2023-01-11,P0062,S004,500,0
ORD04479,2023-01-03,2023-01-17,2023-01-27,P0054,S014,177,1
ORD04485,2023-01-03,2023-01-10,2023-01-09,P0064,S006,246,0
ORD04601,2023-01-03,2023-01-10,2023-01-08,P0091,S020,336,0
ORD04789,2023-01-03,2023-01-17,2023-01-16,P0036,S002,79,0
ORD00312,2023-01-04,2023-01-11,2023-01-11,P0009,S014,372,0
ORD00945,2023-01-04,2023-01-16,2023-01-16,P0092,S019,266,0
ORD01006,2023-01-04,2023-01-11,2023-01-09,P0084,S001,313,0
ORD01260,2023-01-04,2023-01-16,2023-01-14,P0022,S008,53,0
ORD02413,2023-01-04,2023-01-13,2023-01-13,P0008,S009,42,0
ORD02692,2023-01-04,2023-01-16,2023-01-18,P0077,S011,276,1
ORD03214,2023-01-04,2023-01-10,2023-01-16,P0072,S016,338,1
ORD03273,2023-01-04,2023-01-19,2023-01-18,P0043,S010,396,0
ORD03690,2023-01-04,2023-01-13,2023-01-20,P0007,S015,84,1
ORD03870,2023-01-04,2023-01-12,2023-01-12,P0020,S006,424,0
ORD04039,2023-01-04,2023-01-12,2023-01-11,P0063,S010,141,0
ORD04402,2023-01-04,2023-01-13,2023-01-19,P0063,S014,294,1
ORD04532,2023-01-04,2023-01-18,2023-01-18,P0093,S018,441,0
ORD00077,2023-01-05,2023-01-20,2023-01-20,P0078,S019,391,0
ORD00405,2023-01-05,2023-01-15,2023-01-14,P0089,S001,77,0
ORD00732,2023-01-05,2023-01-16,2023-01-14,P0067,S006,283,0
ORD00935,2023-01-05,2023-01-18,2023-01-18,P0038,S020,41,0
ORD01169,2023-01-05,2023-01-14,2023-01-14,P0039,S013,117,0
ORD01238,2023-01-05,2023-01-20,2023-01-19,P0054,S004,444,0
ORD01324,2023-01-05,2023-01-16,2023-01-14,P0091,S006,260,0
ORD01588,2023-01-05,2023-01-17,2023-01-25,P0011,S014,399,1
ORD01811,2023-01-05,2023-01-20,2023-01-23,P0067,S016,158,1
ORD02054,2023-01-05,2023-01-16,2023-01-15,P0083,S006,472,0
ORD02215,2023-01-05,2023-01-18,2023-01-26,P0098,S005,29,1
ORD02378,2023-01-05,2023-01-15,2023-01-14,P0046,S002,113,0
ORD02535,2023-01-05,2023-01-12,2023-01-12,P0062,S010,420,0
ORD02595,2023-01-05,2023-01-12,2023-01-10,P0003,S011,266,0
ORD03574,2023-01-05,2023-01-13,2023-01-11,P0083,S011,347,0
ORD03664,2023-01-05,2023-01-10,2023-01-10,P0045,S020,108,0
ORD03712,2023-01-05,2023-01-11,2023-01-11,P0096,S006,382,0
ORD03801,2023-01-05,2023-01-13,2023-01-11,P0067,S007,402,0
ORD03835,2023-01-05,2023-01-13,2023-01-11,P0042,S011,220,0
ORD04388,2023-01-05,2023-01-10,2023-01-10,P0038,S016,449,0
ORD04425,2023-01-05,2023-01-14,2023-01-14,P0096,S018,82,0
ORD04533,2023-01-05,2023-01-13,2023-01-11,P0022,S015,496,0
ORD04728,2023-01-05,2023-01-11,2023-01-09,P0088,S014,447,0
ORD04786,2023-01-05,2023-01-19,2023-01-17,P0055,S008,155,0
ORD04934,2023-01-05,2023-01-19,2023-01-18,P0095,S002,268,0
ORD00644,2023-01-06,2023-01-19,2023-01-19,P0001,S018,303,0
ORD00941,2023-01-06,2023-01-21,2023-01-29,P0085,S003,233,1
ORD00951,2023-01-06,2023-01-18,2023-01-17,P0074,S016,385,0
ORD01564,2023-01-06,2023-01-21,2023-01-19,P0018,S014,255,0
ORD01621,2023-01-06,2023-01-14,2023-01-13,P0023,S012,141,0
ORD02041,2023-01-06,2023-01-21,2023-01-21,P0093,S007,492,0
ORD02776,2023-01-06,2023-01-21,2023-01-19,P0004,S001,52,0
ORD03072,2023-01-06,2023-01-13,2023-01-14,P0034,S018,286,1
ORD03265,2023-01-06,2023-01-18,2023-01-17,P0041,S003,140,0
ORD03296,2023-01-06,2023-01-21,2023-01-21,P0005,S005,334,0
ORD03452,2023-01-06,2023-01-11,2023-01-16,P0053,S008,249,1
ORD03454,2023-01-06,2023-01-17,2023-01-25,P0079,S015,322,1
ORD03891,2023-01-06,2023-01-12,2023-01-10,P0099,S011,81,0
ORD04757,2023-01-06,2023-01-15,2023-01-18,P0083,S006,97,1
ORD00008,2023-01-07,2023-01-19,2023-01-25,P0082,S014,466,1
ORD00025,2023-01-07,2023-01-16,2023-01-15,P0044,S019,104,0
ORD00417,2023-01-07,2023-01-17,2023-01-27,P0054,S012,197,1
ORD01031,2023-01-07,2023-01-15,2023-01-20,P0031,S014,341,1
ORD01631,2023-01-07,2023-01-13,2023-01-13,P0015,S020,433,0
ORD01632,2023-01-07,2023-01-14,2023-01-16,P0035,S002,83,1
ORD01659,2023-01-07,2023-01-18,2023-01-21,P0061,S019,390,1
ORD01905,2023-01-07,2023-01-16,2023-01-15,P0034,S004,443,0
ORD01979,2023-01-07,2023-01-12,2023-01-10,P0014,S002,266,0
ORD01999,2023-01-07,2023-01-20,2023-01-20,P0026,S006,234,0
ORD02078,2023-01-07,2023-01-17,2023-01-26,P0050,S006,361,1
ORD02263,2023-01-07,2023-01-19,2023-01-18,P0029,S004,312,0
ORD03778,2023-01-07,2023-01-16,2023-01-15,P0015,S007,133,0
ORD03911,2023-01-07,2023-01-14,2023-01-14,P0036,S003,54,0
ORD03926,2023-01-07,2023-01-16,2023-01-16,P0056,S020,163,0
ORD04021,2023-01-07,2023-01-13,2023-01-11,P0023,S010,35,0
ORD04605,2023-01-07,2023-01-22,2023-01-20,P0005,S003,262,0
ORD04735,2023-01-07,2023-01-13,2023-01-12,P0045,S016,106,0
ORD01436,2023-01-08,2023-01-23,2023-01-22,P0028,S013,244,0
ORD01682,2023-01-08,2023-01-17,2023-01-17,P0064,S005,58,0
ORD01710,2023-01-08,2023-01-18,2023-01-23,P0065,S012,429,1
ORD01902,2023-01-08,2023-01-23,2023-01-23,P0032,S009,404,0
ORD03061,2023-01-08,2023-01-17,2023-01-24,P0085,S003,81,1
ORD03220,2023-01-08,2023-01-20,2023-01-22,P0065,S001,303,1
ORD03391,2023-01-08,2023-01-22,2023-01-21,P0013,S003,79,0
ORD04297,2023-01-08,2023-01-21,2023-01-29,P0013,S016,33,1
ORD04413,2023-01-08,2023-01-18,2023-01-17,P0064,S011,411,0
ORD00102,2023-01-09,2023-01-18,2023-01-25,P0068,S006,68,1
ORD00175,2023-01-09,2023-01-23,2023-01-23,P0038,S017,229,0
ORD00316,2023-01-09,2023-01-24,2023-01-24,P0014,S017,480,0
ORD01622,2023-01-09,2023-01-24,2023-01-22,P0014,S018,379,0
ORD01653,2023-01-09,2023-01-22,2023-01-22,P0015,S012,40,0
ORD01716,2023-01-09,2023-01-20,2023-01-30,P0070,S020,61,1
ORD01763,2023-01-09,2023-01-21,2023-01-28,P0093,S003,164,1
ORD02355,2023-01-09,2023-01-16,2023-01-15,P0048,S020,29,0
ORD02450,2023-01-09,2023-01-14,2023-01-12,P0062,S004,198,0
ORD02592,2023-01-09,2023-01-23,2023-01-23,P0099,S007,61,0
ORD02608,2023-01-09,2023-01-21,2023-01-28,P0060,S008,374,1
ORD02935,2023-01-09,2023-01-19,2023-01-17,P0037,S020,432,0
ORD02943,2023-01-09,2023-01-18,2023-01-18,P0090,S020,452,0
ORD03374,2023-01-09,2023-01-23,2023-01-23,P0045,S004,296,0
ORD03451,2023-01-09,2023-01-19,2023-01-19,P0028,S005,114,0
ORD03538,2023-01-09,2023-01-20,2023-01-27,P0069,S005,206,1
ORD03738,2023-01-09,2023-01-18,2023-01-28,P0013,S001,405,1
ORD03822,2023-01-09,2023-01-21,2023-01-23,P0039,S006,267,1
ORD03996,2023-01-09,2023-01-23,2023-01-24,P0082,S008,397,1
ORD04157,2023-01-09,2023-01-15,2023-01-23,P0056,S001,389,1
ORD04274,2023-01-09,2023-01-21,2023-01-19,P0010,S004,177,0
ORD04609,2023-01-09,2023-01-16,2023-01-16,P0064,S013,337,0
ORD00589,2023-01-10,2023-01-21,2023-01-19,P0071,S004,10,0
ORD00763,2023-01-10,2023-01-15,2023-01-15,P0024,S005,62,0
ORD00896,2023-01-10,2023-01-24,2023-01-23,P0009,S007,86,0
ORD00997,2023-01-10,2023-01-24,2023-01-27,P0002,S016,98,1
ORD01425,2023-01-10,2023-01-16,2023-01-16,P0069,S020,389,0
ORD01878,2023-01-10,2023-01-22,2023-01-29,P0090,S018,74,1
ORD02833,2023-01-10,2023-01-18,2023-01-18,P0067,S002,463,0
